figure,panel,linked_supplement,current_content,scientific_claim,source_asset,subset_rule,observational_unit,n_observations,transformation_or_test,reviewer_request,planned_action,legend_status,code_status,owner,status,notes
Figure1,A,S1A,"Stage-count timeline; four repair-mode schematics; H&E; cross-species data-scale footer","Defines cohort structure, four spatial repair modes, the wound x-y coordinate system, and the full human/rat validation data scale","Experimental H&E raster; cohort_metadata.csv; registered human/rat H5AD objects","Stage-coded human wound units only in timeline; normal and time-unencoded Visium units excluded from stage counts; full registered human/rat assets in footer","sequencing unit/cell/cell bin/section","Inflammation 9; proliferation 22; remodeling 7; human 51 units; rat 83 units; 729587 scRNA cells; 1031523 Stereo bins; 2 Visium sections","Descriptive counts only","Use Superficial and Deep; add Mode-position labels to H&E; preserve aspect ratio","Implemented in Figure1A v02 with documented H&E orientation changes and vector scale-bar replacement","Legend v02","Figure1A_layout.py complete","Codex + author","Review","H&E is the only retained PPT-origin experimental raster; no intensity adjustment"
Figure1,B,S1C-S1D,"47-state data-rendered UMAP with colored numbered key","Establishes the 47-state cellular taxonomy across five compartments","F:\多组学分析skills\人创面\pbmc_final.h5ad","All post-QC human epithelialization scRNA cells","cell",279305,"Direct X_umap/sub_labels render; established 47-state color registry; rasterized point layer","Restore missing colors and prevent PPT extraction","Regenerate UMAP and add matched color swatches to numbered key","Implemented in Figure1B v02","Figure1B_layout.py reproducible","Codex + author","Review","Equal axes aspect; vector labels/key; no PPT crop"
Figure1,C,S1E-S1G,"Four representative direct-H5AD spatial projections","Shows recovery of epithelial and appendage-associated states in intact wound architecture","Registered per-section annotated Stereo H5AD objects","Use only registered 5dpb; 19dpb_p1; 12dpb_SPTDI2 and 2mph sections","Stereo cell bin","section-specific","Direct categorical-label scatter; registered rotations; equal aspect; no geometric stretching","Standardize scale bars; add Mode positions; prevent PPT extraction","Regenerate all four sections with shared seven-state legend and 1 mm vector scale bars","Implemented in Figure1C v02","Figure1C_layout.py reproducible","Codex + author","Review","No non-project section and no PPT-derived bioinformatics image"
Figure1,D,S1G,"19 dpb overview plus three territory enlargements","Localizes newly epithelialized, epithelialization-front and unepithelialized territories and their KC states","BW15D_1_D1_SDSDB_19dpb_Annotated.h5ad; 19dpb_p1_spatial_anchors.json","Registered 19dpb_p1 section only","Stereo cell bin",47042,"Direct H5AD render; anchor-defined regions; equal aspect; no inferential test","Clarify pattern; add Mode positions; prevent PPT extraction","One data-rendered overview plus three region subsets; detailed 3x3 validation remains in S1G","Implemented in Figure1D v02","Figure1D_layout.py reproducible","Codex + author","Review","2 mm overview and 500 um crop vector scale bars"
Figure1,E,S1F,"Four epithelialization module-score maps","High epithelialization activity localizes to actively covering tissue","Registered annotated Stereo object plus Figure1 gene set","Exact whitelist of 11 registered sections; four representative sections displayed","Stereo cell bin",387061,"Scanpy score_genes; shared registered-subset 1st-99th percentile display scale; deterministic pixel aggregation without smoothing","1E spatial pattern is unclear","Light-gray low-signal tissue with blue-orange-yellow shared scale","Implemented in Figure1E v01","Figure1EF_compute_scores.py and Figure1E_layout.py complete","Codex + author","Review","12 of 13 requested genes found; parameters and missing gene recorded in provenance JSON"
Figure1,F,TableS1_Gene_sets,"Five aligned section-level temporal trajectories with omnibus statistics","Separates stage-dependent dynamics of five biological programs","Registered annotated Stereo object plus five Table S1 gene sets","Normal, 5dpb, 12dpb, 19dpb, 26dpb and 2mph only; 6mph and 9mph excluded","section",11,"Section-level mean scores; within-process z display; two-sided Kruskal-Wallis omnibus tests; no bin-level CI","Add valid statistical annotations","Show section points; time-point means and significance notation without pseudoreplication","Implemented in Figure1F v01 plus statistics","Figure1EF_compute_scores.py and Figure1F_temporal.py reproducible","Codex + author","Review","All five omnibus tests ns; exact P values in Figure1F_Kruskal_Wallis.csv"
FigureS1,A,Figure1A,"Cohort structure overview","Documents injury depth, repair stage and modality allocation","Clinical metadata and cohort_metadata.csv","Use separate patient, sample and section units","patient/sample/section","Declared 49-patient cohort; 51 molecular rows currently tabulated","Descriptive counts","Support revised Figure1A","Retain approved cohort panel; explicitly separate declared patients from molecular units","Implemented in FigureS1 Cell-final v01","Existing panel retained; final layout complete","Codex + author","Review","49 patients retained as declared umbrella-cohort claim; molecular units reported separately"
FigureS1,B,Figure1B,"Pre/post-QC violin plots","Documents scRNA filtering","Human scRNA H5AD and raw/pre-QC object",Human epithelialization scRNA only,"cell",316194,"nFeature_RNA, nCount_RNA and mitochondrial percentage before versus after filtering","QC support","Retain approved panel without scientific-content changes","Implemented in FigureS1 Cell-final v01","Existing output retained; final layout complete","Codex + author","Review","Post-QC n=279305"
FigureS1,C,Figure1B,"UMAP by patient, time and injury depth","Assesses metadata and batch distribution","Human scRNA H5AD",Human epithelialization scRNA only,"cell",279305,"Existing embedding and categorical metadata retained","Batch support","Retain approved panel without scientific-content changes","Implemented in FigureS1 Cell-final v01","Existing output retained; final layout complete","Codex + author","Review","Current object contains 23 patient IDs"
FigureS1,D,Figure1B,"47-state marker heat map","Supports cell-state annotation","Human scRNA H5AD plus marker table",All 47 annotated states,"cell/state",47,"Average scaled expression by state; marker selection documented in Table S1","Annotation support","Retain approved panel at full-page readable size","Implemented in FigureS1 Cell-final v01","Existing output retained; dedicated A4 page","Codex + author","Review","Gene symbols italic in editable source; cell-state names roman"
