asset_id,modality,species,source_path_or_accession,subset_rule,observational_unit,n_observations,checksum_or_version,used_by_panel,status,notes
FIG6_PPT,current composite,multi-species,F:\20250325cell背靠背拒稿\20251214上皮化\20260422rebuttal\联系编辑\20260712-上皮化文章拼图.pptx,slide 7 embedded media,panels,4 embedded images,2026-07-12 file,Figure6A-E and historical G,verified,"F is a placeholder; off-canvas stale legend exists"
FIG6_AB,embedded raster,multi-species,inputs/current/Figure6AB_cross_species_current.png,original slide-7 media image64,cells or mapped observations,unresolved,SHA256 recorded in QC,Figure6A-B,verified_raster,"Exact upstream object and denominator unresolved"
FIG6_CD,embedded raster,rat and planarian,inputs/current/Figure6CD_spatial_current.png,original slide-7 media image65,spatial cells/bins/spots,unresolved,SHA256 recorded in QC,Figure6C-D,verified_raster,"Keep modality-specific percentages separate from Figure6B"
FIG6_E,embedded raster,human rat reindeer,inputs/current/Figure6E_KLF4_current.png,original slide-7 media image62,protein sequence and cells,unresolved,SHA256 recorded in QC,Figure6E,verified_raster,"Upstream statistics unresolved"
FIG6_G_OLD,embedded raster,conceptual,inputs/current/Figure6G_mechanism_current.png,original slide-7 media image63,conceptual,NA,SHA256 recorded in QC,historical Figure6G,retained_for_provenance,"Not used in review proof; cautious vector replacement used"
ROUTER_REGISTRY,registry,multi-species,C:\Users\ADMIN\.codex\skills\epithelialization-dataset-router\references\dataset_registry.json,registered project scope,assets,NA,registry_version_1,provenance,verified,"Router check passed 2026-07-22; human Stereo-seq whitelist=11; Visium declared sections=2"
STEREO_CODE_1,analysis code,human,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\所有切片整合注释_白底版.py,provenance lead only,NA,NA,file present,possible spatial panels,unmatched,"Do not claim exact panel generation until code-to-output match is established"
STEREO_CODE_2,analysis code,human,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\最终可视化代码.py,provenance lead only,NA,NA,file present,possible spatial panels,unmatched,"Do not claim exact panel generation until code-to-output match is established"
RAT_SCRNA,scRNA-seq,rat,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,route only; no object loaded,cells,live count required,registered,possible Figure6A-B/E,available_unread,"Exact Figure6 subset unresolved"
RAT_SPATIAL,spatial transcriptomics,rat,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\*_Annotated_Spatial.h5ad,30 objects matched; exact sections unresolved,cells/bins/spots,live count required,router check 2026-07-22,Figure6C,available_unread,"Exact section IDs and orientation must be frozen before regeneration"
DUAL_RECOMB,imaging and quantification,mouse,UNRESOLVED,Krt14-CreER;Pdgfra-DreER experiment,animals/sections/cells,unresolved,missing,Figure6F and FigureS6F-L,blocked,"No filename match found in scoped project search"
