date,figure,panel,request_source,change_type,change_summary,scientific_impact,files_changed,approved_by,status
2026-07-22,Figure1,A,Expert comment,Content/layout,"Move gross arm/wound photographs to Figure S1; prioritize timeline, modality-specific sample counts, four repair modes and H&E; add IF only when verified","Reduces visual clutter and prevents unsupported imaging substitution","panel_manifest.csv; Figure1_change_specification.txt",,Proposed
2026-07-22,Figure1,A,Data audit,Correction,"Separate patient, scRNA sample, Stereo section and Visium section counts; flag N=49/N=51 conflict","Prevents conflation of clinical participants with molecular samples/sections","panel_manifest.csv; data_manifest.csv; Figure1_legend_revision_draft.txt",,Awaiting author confirmation
2026-07-22,Figure1,D,Expert comment,Major redesign,"Use one large 19dpb overview and three enlarged region crops; move 3x3 state maps to S1G","Makes one-way epithelialization spatial pattern readable at A4 size","panel_manifest.csv; Figure1_change_specification.txt",,Proposed
2026-07-22,Figure1,E,Expert comment,Recompute/restyle,"Audit score scaling and rebuild surface-focused module maps with explicit color-scale definition","Makes module localization interpretable without silently changing normalization","panel_manifest.csv; Figure1_change_specification.txt",,Proposed
2026-07-22,Figure1,F,Dataset-router audit,Correction,"Remove 6mph and 9mph; compute section-level scores across the registered 11-section subset","Restores epithelialization-study scope and avoids bin-level pseudoreplication","panel_manifest.csv; data_manifest.csv; Figure1_change_specification.txt",,Required
2026-07-22,FigureS1,E,Legend/layout audit,Reassembly,"Show four representative spatial QC sections in S1 composite and retain all-11 maps as extended source output","Matches legend wording and improves legibility","panel_manifest.csv; Figure1_change_specification.txt",,Proposed
2026-07-22,FigureS1,F,Method audit,Terminology,"Rename projection confidence as marker-support mapping score","Avoids presenting a rule-based score as calibrated probability","panel_manifest.csv; Figure1_legend_revision_draft.txt",,Required
2026-07-22,TableS1,All,Data audit,Metadata revision,"Keep 38 scRNA samples, 11 Stereo sections and 2 Visium sections separate; update patient linkage after clinical-master confirmation","Maintains correct observational units and traceable provenance","panel_manifest.csv; data_manifest.csv",,Awaiting author confirmation
2026-07-22,Figure1,A,Author decision,Approved specification,"Do not show one combined N; display 38 scRNA-seq samples, 11 Stereo-seq sections and 2 Visium sections separately","Eliminates patient/sample/section conflation","panel_manifest.csv; Figure1_change_specification.txt; Figure1_legend_revision_draft.txt",Author,Approved
2026-07-22,Figure1,A,Author decision,Evidence selection,"Use four mode-matched H&E sections; do not add fluorescence to Figure1A","Keeps the panel focused on morphological mode definition; reserves cell/pathway IF for mechanistic figures","panel_manifest.csv; data_manifest.csv; Figure1_change_specification.txt; Figure1_legend_revision_draft.txt",Author,Approved
2026-07-22,Figure1,A,Implementation,Redraw,"Generated 125 x 88 mm editable SVG/PDF with timeline, separate modality counts, four vector mode schematics and four unadjusted H&E crops","Improves hierarchy, whitespace and histological readability while preserving the approved claims","scripts/Figure1A_layout.py; outputs/panels/Figure1A_v01.svg; outputs/panels/Figure1A_v01.pdf; outputs/raster/Figure1A_v01_600dpi.png; outputs/raster/Figure1A_v01_600dpi.tiff",,Ready for review
2026-07-22,Figure1,A,Author review,Revision,"Version 02 replaces modality counts with stage-coded wound-unit counts, flattens the Mode4 scarless surface, mirrors Mode2/4 H&E, redraws scale bars and adds the full human/rat data-scale footer","Aligns morphology with schematic orientation and reports verified study scale without conflating observation types","scripts/Figure1A_layout.py; outputs/panels/Figure1A_v02.svg; outputs/panels/Figure1A_v02.pdf; outputs/raster/Figure1A_v02_600dpi.png; outputs/raster/Figure1A_v02_600dpi.tiff; source_data/Figure1A_count_sources.csv",Author,Ready for review
2026-07-22,Figure1,B-C,Implementation,Restyle,"Rebuilt the 47-state UMAP key and the four-section epithelial/SAC spatial projection for A4 readability","Retains approved embeddings and spatial labels while improving legibility","scripts/Figure1B_layout.py; scripts/Figure1C_layout.py; outputs/panels/Figure1B_v01.svg; outputs/panels/Figure1C_v01.svg",,Ready for review
